oui,wifiChipManufacturer,estimatedDeviceCategory
0017DC,DAEMYUNG ZERO1,Non-mobile device
0017DE,Advantage Six Ltd,Non-mobile device
0018C3,CS Corporation,Non-mobile device
0018CA,Viprinet GmbH,Non-mobile device
0018BE,ANSA Corporation,Non-mobile device
0018B2,ADEUNIS RF,Non-mobile device
0018B7,"D3 LED, LLC",Non-mobile device
0018AB,BEIJING LHWT MICROELECTRONICS INC.,Non-mobile device
0018A6,"Persistent Systems, LLC",Non-mobile device
001895,Hansun Technologies Inc.,Non-mobile device
00189A,HANA Micron Inc.,Non-mobile device
0018E7,"Cameo Communications, INC.",Non-mobile device
0018EE,"Videology Imaging Solutions, Inc.",Non-mobile device
0018E2,Topdata Sistemas de Automacao Ltda,Non-mobile device
0018DB,EPL Technology Ltd,Non-mobile device
0018E0,ANAVEO,Non-mobile device
0018CF,Baldor Electric Company,Non-mobile device
0018D4,Unified Display Interface SIG,Non-mobile device
00184A,"Catcher, Inc.",Non-mobile device
00184C,Bogen Communications,Non-mobile device
001845,Pulsar-Telecom LLC.,Non-mobile device
00183E,"Digilent, Inc",Non-mobile device
001828,e2v technologies (UK) ltd.,Non-mobile device
00182D,Artec Design,Non-mobile device
001821,SINDORICOH,Non-mobile device
001815,"GZ Technologies, Inc.",Non-mobile device
00181C,Exterity Limited,Non-mobile device
001772,ASTRO Strobel Kommunikationssysteme GmbH,Non-mobile device
001777,Obsidian Research Corporation,Non-mobile device
00176E,DUCATI SISTEMI,Non-mobile device
001762,"Solar Technology, Inc.",Non-mobile device
001769,Cymphonix Corp,Non-mobile device
00175D,Dongseo system.,Non-mobile device
00175B,ACS Solutions Switzerland Ltd.,Non-mobile device
001756,Vinci Labs Oy,Non-mobile device
00174F,iCatch Inc.,Non-mobile device
0017CD,CEC Wireless R&D Ltd.,Non-mobile device
0017D2,THINLINX PTY LTD,Non-mobile device
0017C6,Cross Match Technologies Inc,Non-mobile device
0017BA,"SEDO CO., LTD.",Non-mobile device
0017BF,Coherent Research Limited,Non-mobile device
0017C1,CM Precision Technology LTD.,Non-mobile device
0017B3,Aftek Infosys Limited,Non-mobile device
00186A,"Global Link Digital Technology Co,.LTD",Non-mobile device
00186F,Setha Industria Eletronica LTDA,Non-mobile device
001876,WowWee Ltd.,Non-mobile device
001869,KINGJIM,Non-mobile device
001864,Eaton Corporation,Non-mobile device
00185D,"TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD.",Non-mobile device
001851,SWsoft,Non-mobile device
001858,TagMaster AB,Non-mobile device
00189F,Lenntek Corporation,Non-mobile device
00188E,"Ekahau, Inc.",Non-mobile device
001887,Metasystem SpA,Non-mobile device
001889,WinNet Solutions Limited,Non-mobile device
00187B,4NSYS Co. Ltd.,Non-mobile device
001661,Novatium Solutions (P) Ltd,Non-mobile device
001663,KBT Mobile,Mobile phone
001668,Eishin Electronics,Non-mobile device
001662,Liyuh Technology Ltd.,Non-mobile device
001655,"FUHO TECHNOLOGY Co., LTD",Non-mobile device
0015E4,Zimmer Elektromedizin,Non-mobile device
0015DA,IRITEL A.D.,Non-mobile device
0015DF,Clivet S.p.A.,Non-mobile device
0015D3,"Pantech&Curitel Communications, Inc.",Non-mobile device
0015C7,"Cisco Systems, Inc",Non-mobile device
0015C0,"DIGITAL TELEMEDIA CO.,LTD.",Non-mobile device
0015BA,iba AG,Non-mobile device
00174A,SOCOMEC,Non-mobile device
001743,Deck Srl,Non-mobile device
00173D,Neology,Non-mobile device
00173E,LeucotronEquipamentos Ltda.,Non-mobile device
001738,International Business Machines,Non-mobile device
00172C,TAEJIN INFOTECH,Non-mobile device
001720,"Image Sensing Systems, Inc.",Non-mobile device
001725,Liquid Computing,Non-mobile device
001701,"KDE, Inc.",Non-mobile device
001703,"MOSDAN Internation Co.,Ltd",Non-mobile device
0016FC,"TOHKEN CO.,LTD.",Non-mobile device
0016F0,Dell,Non-mobile device
0016F5,"Dalian Golden Hualu Digital Technology Co.,Ltd",Non-mobile device
0016E9,Tiba Medical Inc,Non-mobile device
0016E4,VANGUARD SECURITY ENGINEERING CORP.,Non-mobile device
0016DD,Gigabeam Corporation,Non-mobile device
0016E2,"American Fibertek, Inc.",Non-mobile device
0016D8,Senea AB,Non-mobile device
00169C,"Cisco Systems, Inc",Non-mobile device
00169E,TV One Ltd,Non-mobile device
0016A3,"Ingeteam Transmission&Distribution, S.A.",Non-mobile device
001690,J-TEK INCORPORATION,Non-mobile device
001697,NEC Corporation,Non-mobile device
001689,"Pilkor Electronics Co., Ltd",Non-mobile device
00168B,Paralan Corporation,Non-mobile device
001684,"Donjin Co.,Ltd.",Non-mobile device
00167D,"Sky-Line Information Co., Ltd.",Non-mobile device
001678,"SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD",Non-mobile device
001649,SetOne GmbH,Non-mobile device
00163F,CReTE SYSTEMS Inc.,Non-mobile device
001638,"TECOM Co., Ltd.",Non-mobile device
001633,Oxford Diagnostics Ltd.,Non-mobile device
00162C,Xanboo,Non-mobile device
001627,embedded-logic DESIGN AND MORE GmbH,Non-mobile device
001619,Lancelan Technologies S.L.,Non-mobile device
001614,Picosecond Pulse Labs,Non-mobile device
001719,"Audiocodes USA, Inc",Non-mobile device
00171E,Theo Benning GmbH & Co. KG,Non-mobile device
001712,ISCO International,Non-mobile device
00170D,Dust Networks Inc.,Non-mobile device
00160F,BADGER METER INC,Non-mobile device
00160A,SWEEX Europe BV,Non-mobile device
001603,"COOLKSKY Co., LTD",Non-mobile device
0015F7,Wintecronics Ltd.,Non-mobile device
0015F0,EGO BV,Non-mobile device
0015EA,Tellumat (Pty) Ltd,Non-mobile device
0016C5,"Shenzhen Xing Feng Industry Co.,Ltd",Non-mobile device
0016C7,"Cisco Systems, Inc",Non-mobile device
0016CC,Xcute Mobile Corp.,Mobile phone
0016C0,Semtech Corporation,Non-mobile device
0016B4,Private,Non-mobile device
0016A8,"CWT CO., LTD.",Non-mobile device
0016AD,BT-Links Company Limited,Non-mobile device
001553,Cytyc Corporation,Non-mobile device
001555,DFM GmbH,Non-mobile device
00154E,IEC,Non-mobile device
001547,AiZen Solutions Inc.,Non-mobile device
001542,MICROHARD S.R.L.,Non-mobile device
00153B,EMH metering GmbH & Co. KG,Non-mobile device
001534,"A BeltrÃ³nica-Companhia de ComunicaÃ§Ãµes, Lda",Non-mobile device
001440,ATOMIC Corporation,Non-mobile device
001434,"Keri Systems, Inc",Non-mobile device
00142D,Toradex AG,Non-mobile device
001426,NL Technology,Non-mobile device
001421,Total Wireless Technologies Pte. Ltd.,Non-mobile device
00141C,"Cisco Systems, Inc",Non-mobile device
001583,IVT corporation,Non-mobile device
00157E,WeidmÃ¼ller Interface GmbH & Co. KG,Non-mobile device
001579,Lunatone Industrielle Elektronik GmbH,Non-mobile device
001574,Horizon Semiconductors Ltd.,Non-mobile device
001566,"A-First Technology Co., Ltd.",Non-mobile device
001561,JJPlus Corporation,Non-mobile device
00155A,"DAINIPPON PHARMACEUTICAL CO., LTD.",Non-mobile device
001554,Atalum Wireless S.A.,Non-mobile device
001528,Beacon Medical Products LLC d.b.a. BeaconMedaes,Non-mobile device
001521,Horoquartz,Non-mobile device
001523,Meteor Communications Corporation,Non-mobile device
001522,Dea Security,Non-mobile device
00151C,LENECO,Non-mobile device
001512,Zurich University of Applied Sciences,Non-mobile device
00150B,SAGE INFOTECH LTD.,Non-mobile device
001506,Neo Photonics,Non-mobile device
0014FF,"Precise Automation, Inc.",Non-mobile device
0014F8,Scientific Atlanta,Non-mobile device
0014F3,ViXS Systems Inc,Non-mobile device
0014E7,"Stolinx,. Inc",Non-mobile device
0014EC,Acro Telecom,Non-mobile device
0014E2,datacom systems inc.,Non-mobile device
0014D6,"Jeongmin Electronics Co.,Ltd.",Non-mobile device
0014DB,Elma Trenew Electronic GmbH,Non-mobile device
0014DD,Covergence Inc.,Non-mobile device
0014DC,Communication System Design & Manufacturing (CSDM),Non-mobile device
0014CF,INVISIO Communications,Non-mobile device
0014CA,Key Radio Systems Limited,Non-mobile device
0014BC,SYNECTIC TELECOM EXPORTS PVT. LTD.,Non-mobile device
0014B7,AR Infotek Inc.,Non-mobile device
0014AD,Gassner Wiege- und MeÃŸtechnik GmbH,Non-mobile device
0014B2,mCubelogics Corporation,Non-mobile device
0014A6,"Teranetics, Inc.",Non-mobile device
00149F,"System and Chips, Inc.",Non-mobile device
0014A1,Synchronous Communication Corp,Non-mobile device
001470,Prokom Software SA,Non-mobile device
001469,"Cisco Systems, Inc",Non-mobile device
001462,"Digiwell Technology, inc",Non-mobile device
00145D,"WJ Communications, Inc.",Non-mobile device
001450,Heim Systems GmbH,Non-mobile device
001456,Edge Products,Non-mobile device
00144C,General Meters Corp.,Non-mobile device
001445,Telefon-Gradnja d.o.o.,Non-mobile device
001447,BOAZ Inc.,Non-mobile device
001446,SuperVision Solutions LLC,Non-mobile device
0015B3,Caretech AB,Non-mobile device
0015A9,"KWANG WOO I&C CO.,LTD",Non-mobile device
00159D,Tripp Lite ,Non-mobile device
001591,RLW Inc.,Non-mobile device
00158A,SURECOM Technology Corp.,Non-mobile device
00158F,NTT Advanced Technology Corporation,Non-mobile device
001590,Hectronic GmbH,Non-mobile device
0014A0,"Accsense, Inc.",Non-mobile device
001493,Systimax Solutions,Non-mobile device
00148E,Tele Power Inc.,Non-mobile device
001487,American Technology Integrators,Non-mobile device
001482,Aurora Networks,Non-mobile device
001481,Multilink Inc,Non-mobile device
00147C,3Com Ltd,Non-mobile device
001475,"Wiline Networks, Inc.",Non-mobile device
0012E7,Projectek Networking Electronics Corp.,Non-mobile device
0012E8,Fraunhofer IMS,Non-mobile device
0012DB,ZIEHL industrie-elektronik GmbH + Co KG,Non-mobile device
0012E2,ALAXALA Networks Corporation,Non-mobile device
0012D6,"Jiangsu Yitong High-Tech Co.,Ltd",Non-mobile device
0012D5,Motion Reality Inc.,Non-mobile device
0012C3,WIT S.A.,Non-mobile device
0013E5,"TENOSYS, INC.",Non-mobile device
0013EA,Kamstrup A/S,Non-mobile device
0013DE,"Adapt4, LLC",Non-mobile device
0013D7,SPIDCOM Technologies SA,Non-mobile device
0013D8,Princeton Instruments,Non-mobile device
0013CF,4Access Communications,Non-mobile device
0013D2,"PAGE IBERICA, S.A.",Non-mobile device
0013C9,Beyond Achieve Enterprises Ltd.,Non-mobile device
0013C2,"WACOM Co.,Ltd",Non-mobile device
0013BD,HYMATOM SA,Non-mobile device
0013B8,RyCo Electronic Systems Limited,Non-mobile device
00134E,"Valox Systems, Inc.",Non-mobile device
001353,HYDAC Filtertechnik GMBH,Non-mobile device
00134D,Inepro BV,Non-mobile device
001347,"Red Lion Controls, LP",Non-mobile device
00133B,Speed Dragon Multimedia Limited,Non-mobile device
001340,AD.EL s.r.l.,Non-mobile device
00132E,ITian Coporation,Non-mobile device
001328,"Westech Korea Inc.,",Non-mobile device
00132D,iWise Communications,Non-mobile device
001334,"Arkados, Inc.",Non-mobile device
0013B3,"Ecom Communications Technology Co., Ltd.",Non-mobile device
0013AC,"Sunmyung Electronics Co., LTD",Non-mobile device
0013A6,Extricom Ltd,Non-mobile device
0013A5,"General Solutions, LTD.",Non-mobile device
0013A0,"ALGOSYSTEM Co., Ltd.",Mobile phone
001399,STAC Corporation.,Non-mobile device
001393,"Panta Systems, Inc.",Non-mobile device
001394,"Infohand Co.,Ltd",Non-mobile device
00138D,Kinghold,Non-mobile device
0012C8,Perfect tech,Non-mobile device
0012B9,Fusion Digital Technology,Non-mobile device
0012BE,Astek Corporation,Non-mobile device
0012AC,ONTIMETEK INC.,Non-mobile device
0012AB,"WiLife, Inc.",Non-mobile device
0012B2,AVOLITES LTD.,Non-mobile device
0012A6,Dolby Australia,Non-mobile device
001378,"Qsan Technology, Inc.",Non-mobile device
00137D,"Dynalab, Inc.",Non-mobile device
001384,Advanced Motion Controls,Non-mobile device
00137E,"CorEdge Networks, Inc.",Non-mobile device
00136C,TomTom,Non-mobile device
00136B,E-TEC,Non-mobile device
001359,ProTelevision Technologies A/S,Non-mobile device
00135E,EAB/RWI/K,Non-mobile device
00129F,RAE Systems,Non-mobile device
001299,Ktech Telecommunications Inc,Non-mobile device
00129A,IRT Electronics Pty Ltd,Non-mobile device
00128C,Woodward Governor,Non-mobile device
001293,GE Energy,Non-mobile device
001287,Digital Everywhere Unterhaltungselektronik GmbH,Non-mobile device
001280,"Cisco Systems, Inc",Non-mobile device
00131E,Peiker acustic GmbH & Co. KG,Non-mobile device
001323,"Cap Co., Ltd.",Non-mobile device
00130B,Mextal B.V.,Non-mobile device
001312,Amedia Networks Inc.,Non-mobile device
0012F8,"WNI Resources, LLC",Non-mobile device
0012FF,Lely Industries N.V.,Non-mobile device
001304,Flaircomm Technologies Co. LTD,Non-mobile device
001410,"Suzhou Keda Technology CO.,Ltd",Non-mobile device
001417,RSE Informations Technologie GmbH,Non-mobile device
001408,Eka Systems Inc.,Non-mobile device
001402,kk-electronic a/s,Non-mobile device
001401,Rivertree Networks Corp.,Non-mobile device
0013FB,RKC INSTRUMENT INC.,Non-mobile device
0013F4,Psitek (Pty) Ltd,Non-mobile device
0013EF,"Kingjon Digital Technology Co.,Ltd",Non-mobile device
0011F7,"Shenzhen Forward Industry Co., Ltd",Non-mobile device
0011F2,Institute of Network Technologies,Non-mobile device
0011EB,Innovative Integration,Non-mobile device
0011E6,Scientific Atlanta,Non-mobile device
0011E5,KCodes Corporation,Non-mobile device
0011DF,Current Energy,Non-mobile device
0011D3,NextGenTel Holding ASA,Non-mobile device
00110E,Tsurusaki Sealand Transportation Co. Ltd.,Non-mobile device
001115,"EPIN Technologies, Inc.",Non-mobile device
001114,EverFocus Electronics Corp.,Non-mobile device
001107,RGB Networks Inc.,Non-mobile device
001108,Orbital Data Corporation,Non-mobile device
001102,Aurora Multimedia Corp.,Non-mobile device
000FFC,Merit Li-Lin Ent.,Non-mobile device
000FDA,YAZAKI CORPORATION,Non-mobile device
000FF3,Jung Myoung Communications&Technology,Non-mobile device
0011A2,Manufacturing Technology Inc,Non-mobile device
00119B,Telesynergy Research Inc.,Non-mobile device
00118C,Missouri Department of Transportation,Non-mobile device
001191,CTS-Clima Temperatur Systeme GmbH,Non-mobile device
001196,"Actuality Systems, Inc.",Non-mobile device
001179,Singular Technology Co. Ltd.,Non-mobile device
001172,COTRON CORPORATION,Non-mobile device
001166,"Taelim Electronics Co., Ltd.",Non-mobile device
00116B,"Digital Data Communications Asia Co.,Ltd",Non-mobile device
00116C,"Nanwang Multimedia Inc.,Ltd",Non-mobile device
001162,"STAR MICRONICS CO.,LTD.",Non-mobile device
001161,"NetStreams, LLC",Non-mobile device
001155,Sevis Systems,Non-mobile device
00115C,"Cisco Systems, Inc",Non-mobile device
001147,Secom-Industry co.LTD.,Non-mobile device
00114C,caffeina applied research ltd.,Non-mobile device
001274,NIT lab,Non-mobile device
00127A,"Sanyu Industry Co.,Ltd.",Non-mobile device
00126D,"University of California, Berkeley",Non-mobile device
001268,IPS d.o.o.,Non-mobile device
001267,Panasonic Corporation,Non-mobile device
001261,"Adaptix, Inc",Non-mobile device
001257,LeapComm Communication Technologies Inc.,Non-mobile device
001222,Skardin (UK) Ltd,Non-mobile device
001227,"Franklin Electric Co., Inc.",Non-mobile device
00121B,"Sound Devices, LLC",Non-mobile device
001221,B.Braun Melsungen AG,Non-mobile device
001214,Koenig & Bauer AG,Non-mobile device
00120F,IEEE 802.3,Mobile phone
001208,Gantner Instruments GmbH,Non-mobile device
001201,"Cisco Systems, Inc",Non-mobile device
001202,Decrane Aerospace - Audio International Inc.,Non-mobile device
0011C7,Raymarine UK Ltd,Non-mobile device
0011CC,"Guangzhou Jinpeng Group Co.,Ltd.",Non-mobile device
0011B5,"Shenzhen Powercom Co.,Ltd",Non-mobile device
0011BA,Elexol Pty Ltd,Non-mobile device
0011C1,4P MOBILE DATA PROCESSING,Mobile phone
0011A8,Quest Technologies,Non-mobile device
0011A7,Infilco Degremont Inc.,Non-mobile device
001250,"Tokyo Aircaft Instrument Co., Ltd.",Non-mobile device
00124B,Texas Instruments,Non-mobile device
001244,"Cisco Systems, Inc",Non-mobile device
001238,"SetaBox Technology Co., Ltd.",Non-mobile device
00123D,"GES Co, Ltd",Non-mobile device
00123E,"ERUNE technology Co., Ltd.",Non-mobile device
00122C,Soenen Controls N.V.,Non-mobile device
001231,"Motion Control Systems, Inc.",Non-mobile device
001146,Telecard-Pribor Ltd,Non-mobile device
001140,Nanometrics Inc.,Non-mobile device
001139,STOEBER ANTRIEBSTECHNIK GmbH + Co. KG.,Non-mobile device
00113A,SHINBORAM,Non-mobile device
001134,"MediaCell, Inc.",Non-mobile device
001127,"TASI, Inc",Non-mobile device
00112A,Niko NV,Non-mobile device
001121,"Cisco Systems, Inc",Non-mobile device
000EBB,Everbee Networks,Non-mobile device
000EB4,GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD.,Non-mobile device
000EAE,GAWELL TECHNOLOGIES CORP.,Non-mobile device
000EA8,United Technologists Europe Limited,Non-mobile device
000EAD,"Metanoia Technologies, Inc.",Non-mobile device
000EA1,Formosa Teletek Corporation,Non-mobile device
000E9C,Benchmark Electronics ,Non-mobile device
000E9B,Ambit Microsystems Corporation,Non-mobile device
000E8E,"SparkLAN Communications, Inc.",Non-mobile device
000E95,"Fujiya Denki Seisakusho Co.,Ltd.",Non-mobile device
000FC1,WAVE Corporation,Non-mobile device
000FC8,Chantry Networks,Non-mobile device
000FC7,Dionica R&D Ltd.,Non-mobile device
000FBA,Tevebox AB,Non-mobile device
000FA7,Raptor Networks Technology,Non-mobile device
000FAE,E2O Communications,Non-mobile device
000FA8,"Photometrics, Inc.",Non-mobile device
000F9A,"Synchrony, Inc.",Non-mobile device
000FA2,2xWireless,Non-mobile device
000E89,CLEMATIC,Non-mobile device
000E82,Commtech Wireless,Non-mobile device
000E7C,Televes S.A.,Non-mobile device
000E76,GEMSOC INNOVISION INC.,Non-mobile device
000E6E,MAT S.A. (Mircrelec Advanced Technology),Non-mobile device
000E72,CTS electronics,Non-mobile device
000E68,E-TOP Network Technology Inc.,Non-mobile device
000E67,Eltis Microelectronics Ltd.,Non-mobile device
000FE7,"Lutron Electronics Co., Inc.",Non-mobile device
000FEC,ARKUS Inc.,Non-mobile device
000FE0,"NComputing Co.,Ltd.",Non-mobile device
000FD4,Soundcraft,Non-mobile device
000FD9,FlexDSL Telecommunications AG,Non-mobile device
000EEA,"Shadong Luneng Jicheng Electronics,Co.,Ltd",Non-mobile device
000EDD,SHURE INCORPORATED,Non-mobile device
000EE4,"BOE TECHNOLOGY GROUP CO.,LTD",Non-mobile device
000ED8,Positron Access Solutions Corp,Non-mobile device
000ECD,SKOV A/S,Non-mobile device
000ECE,S.I.T.T.I. S.p.A.,Non-mobile device
000ED3,"Epicenter, Inc.",Non-mobile device
000EC7,Motorola Korea,Mobile phone
000F93,Landis+Gyr Ltd.,Non-mobile device
000F94,Genexis BV,Non-mobile device
000F8E,"DONGYANG TELECOM CO.,LTD.",Non-mobile device
000F87,Maxcess International,Non-mobile device
000F82,"Mortara Instrument, Inc.",Non-mobile device
000F81,PAL Pacific Inc.,Non-mobile device
000F74,Qamcom Technology AB,Non-mobile device
000F7B,"Arce Sistemas, S.A.",Non-mobile device
000F68,"Vavic Network Technology, Inc.",Non-mobile device
000F6F,FTA Communication Technologies,Non-mobile device
000F62,Alcatel Bell Space N.V.,Mobile phone
000F5C,Day One Digital Media Limited,Non-mobile device
000F55,Datawire Communication Networks Inc.,Non-mobile device
000F49,Northover Solutions Limited,Non-mobile device
000F50,StreamScale Limited,Non-mobile device
000F42,Xalyo Systems,Non-mobile device
000F1C,"DigitAll World Co., Ltd",Non-mobile device
000F0A,Clear Edge Networks,Non-mobile device
000F09,Private,Non-mobile device
000F03,"COM&C CO., LTD",Non-mobile device
000EF7,Vulcan Portals Inc,Non-mobile device
000EFC,JTAG Technologies B.V.,Non-mobile device
000EE9,"WayTech Development, Inc.",Non-mobile device
000EF0,Festo AG & Co. KG,Non-mobile device
000F35,"Cisco Systems, Inc",Non-mobile device
000F2E,Megapower International Corp.,Non-mobile device
000F29,Augmentix Corporation,Non-mobile device
000F22,"Helius, Inc.",Non-mobile device
000F0F,"Real ID Technology Co., Ltd.",Non-mobile device
000F16,"JAY HOW TECHNOLOGY CO.,",Non-mobile device
000F1B,Ego Systems Inc.,Non-mobile device
000D74,"Sand Network Systems, Inc.",Non-mobile device
000D7B,Consensys Computers Inc.,Non-mobile device
000D6E,K-Patents Oy,Non-mobile device
000D68,"Vinci Systems, Inc.",Non-mobile device
000D6D,K-Tech Devices Corp.,Non-mobile device
000D5B,Smart Empire Investments Limited,Non-mobile device
000D5C,"Robert Bosch GmbH, VT-ATMO",Non-mobile device
000D61,"Giga-Byte Technology Co., Ltd.",Non-mobile device
000D55,"SANYCOM Technology Co.,Ltd",Non-mobile device
000D49,"Triton Systems of Delaware, Inc.",Non-mobile device
000D4E,"NDR Co.,LTD.",Non-mobile device
000E5B,ParkerVision - Direct2Data,Non-mobile device
000E55,AUVITRAN,Non-mobile device
000E56,4G Systems GmbH & Co. KG,Non-mobile device
000E4F,Trajet GmbH,Non-mobile device
000E48,Lipman TransAction Solutions,Non-mobile device
000E43,G-Tek Electronics Sdn. Bhd.,Non-mobile device
000E34,"NexGen City, LP",Non-mobile device
000E3B,"Hawking Technologies, Inc.",Non-mobile device
000E2F,Roche Diagnostics GmbH,Non-mobile device
000DFB,Komax AG,Non-mobile device
000DE9,Napatech Aps,Non-mobile device
000DEE,Andrew RF Power Amplifier Group,Non-mobile device
000DE2,CMZ Sistemi Elettronici,Non-mobile device
000DDC,VAC,Non-mobile device
000DD6,ITI    LTD,Non-mobile device
000DDB,AIRWAVE TECHNOLOGIES INC.,Non-mobile device
000DCA,Tait Electronics,Non-mobile device
000DCF,Cidra Corp.,Non-mobile device
000E28,Dynamic Ratings P/L,Non-mobile device
000E22,Private,Non-mobile device
000E21,MTU Friedrichshafen GmbH,Non-mobile device
000E15,Tadlys LTD,Non-mobile device
000E1C,Hach Company,Non-mobile device
000E0D,Hesch SchrÃ¶der GmbH,Non-mobile device
000E10,"C-guys, Inc.",Non-mobile device
000DF5,Teletronics International Inc.,Non-mobile device
000DFC,ITFOR Inc.,Non-mobile device
000E01,ASIP Technologies Inc.,Non-mobile device
000CF0,M & N GmbH,Non-mobile device
000CF5,InfoExpress,Non-mobile device
000CE0,Trek Diagnostics Inc.,Non-mobile device
000CE4,"NeuroCom International, Inc.",Non-mobile device
000CE9,BLOOMBERG L.P.,Non-mobile device
000CCE,"Cisco Systems, Inc",Non-mobile device
000CD4,Positron Public Safety Systems inc.,Non-mobile device
000CCD,IEC - TC57,Non-mobile device
000D15,Voipac s.r.o.,Non-mobile device
000D16,UHS Systems Pty Ltd,Non-mobile device
000D1B,"Kyoto Electronics Manufacturing Co., Ltd.",Non-mobile device
000D0F,Finlux Ltd,Non-mobile device
000D03,"Matrics, Inc.",Non-mobile device
000D08,"AboveCable, Inc.",Non-mobile device
000CFC,S2io Technologies Corp,Non-mobile device
000CF6,Sitecom Europe BV,Non-mobile device
000DA3,Emerging Technologies Limited,Non-mobile device
000D9C,Elan GmbH & Co KG,Non-mobile device
000D96,Vtera Technology Inc.,Non-mobile device
000D95,"Opti-cell, Inc.",Non-mobile device
000D90,Factum Electronics AB,Non-mobile device
000D89,Bils Technology Inc,Non-mobile device
000D80,Online Development Inc,Non-mobile device
000DC9,THALES Elektronik Systeme GmbH,Non-mobile device
000DC3,"First Communication, Inc.",Non-mobile device
000DBC,"Cisco Systems, Inc",Non-mobile device
000DB7,"SANKO ELECTRIC CO,.LTD",Non-mobile device
000DB0,"Olym-tech Co.,Ltd.",Non-mobile device
000DA8,Teletronics Technology Corporation,Non-mobile device
000D41,Siemens AG ICM MP UC RD IT KLF1,Non-mobile device
000D3A,Microsoft Corp.,Non-mobile device
000D35,PAC International Ltd,Non-mobile device
000D2E,Matsushita Avionics Systems Corporation,Non-mobile device
000D28,"Cisco Systems, Inc",Non-mobile device
000D22,Unitronics LTD,Non-mobile device
000D27,MICROPLEX Printware AG,Non-mobile device
000C21,"Faculty of Science and Technology, Keio University",Non-mobile device
000C11,"NIPPON DEMPA CO.,LTD.",Non-mobile device
000C10,PNI Corporation,Non-mobile device
000C12,Micro-Optronic-Messtechnik GmbH,Non-mobile device
000C17,AJA Video Systems Inc,Non-mobile device
000C04,Tecnova,Non-mobile device
000C0B,Broadbus Technologies,Non-mobile device
000BF8,Infinera,Non-mobile device
000BFF,Berkeley Camera Engineering,Non-mobile device
000BEC,"NIPPON ELECTRIC INSTRUMENT, INC.",Non-mobile device
000BB8,Kihoku Electronic Co.,Non-mobile device
000BBD,Connexionz Limited,Non-mobile device
000BAD,PC-PoS Inc.,Non-mobile device
000BA0,T&L Information Inc.,Non-mobile device
000BA7,Maranti Networks,Non-mobile device
000BAC,3Com Ltd,Non-mobile device
000B93,Ritter Elektronik,Non-mobile device
000B98,NiceTechVision,Non-mobile device
000B9B,"Sirius System Co, Ltd.",Non-mobile device
000B8C,Flextronics,Non-mobile device
000BF1,LAP Laser Applikations,Non-mobile device
000BDF,Shenzhen RouterD Networks Limited,Non-mobile device
000BDE,TELDIX GmbH,Non-mobile device
000BE0,SercoNet Ltd.,Non-mobile device
000BE5,HIMS International Corporation,Non-mobile device
000BD9,General Hydrogen,Non-mobile device
000BAE,Vitals System Inc.,Non-mobile device
000BD0,XiMeta Technology Americas Inc.,Non-mobile device
000BD5,"Nvergence, Inc.",Non-mobile device
000BC4,BIOTRONIK GmbH & Co,Non-mobile device
000BC9,Electroline Equipment,Non-mobile device
000BB1,"Super Star Technology Co., Ltd.",Non-mobile device
000BB6,Metalligence Technology Corp.,Non-mobile device
000B79,"X-COM, Inc.",Non-mobile device
000B80,Lycium Networks,Non-mobile device
000B87,American Reliance Inc.,Non-mobile device
000B6D,SOLECTRON JAPAN NAKANIIDA,Non-mobile device
000B74,"Kingwave Technology Co., Ltd.",Non-mobile device
000B67,Topview Technology Corporation,Non-mobile device
000B61,Friedrich LÃ¼tze GmbH & Co. KG,Non-mobile device
000B66,Teralink Communications,Non-mobile device
000B68,Addvalue Communications Pte Ltd,Non-mobile device
000B58,Astronautics C.A  LTD,Non-mobile device
000B50,Oxygnet,Non-mobile device
000B44,Concord IDea Corp.,Non-mobile device
000B49,RF-Link System Inc.,Non-mobile device
000B4B,VISIOWAVE SA,Non-mobile device
000B31,"Yantai ZhiYang Scientific and technology industry CO., LTD",Non-mobile device
000B3D,CONTAL OK Ltd.,Non-mobile device
000B38,KnÃ¼rr GmbH,Non-mobile device
000B2A,"HOWTEL Co., Ltd.",Non-mobile device
000B2C,Eiki Industrial Co. Ltd.,Non-mobile device
000C97,NV ADB TTV Technologies SA,Non-mobile device
000C9C,Chongho information & communications,Non-mobile device
000C9E,MemoryLink Corp.,Non-mobile device
000C89,"AC Electric Vehicles, Ltd.",Non-mobile device
000C8B,Connect Tech Inc,Non-mobile device
000C90,Octasic Inc.,Non-mobile device
000C84,"Eazix, Inc.",Non-mobile device
000C75,Oriental integrated electronics. LTD,Non-mobile device
000C77,Life Racing Ltd,Non-mobile device
000C7C,Internet Information Image Inc.,Non-mobile device
000C43,"Ralink Technology, Corp.",Non-mobile device
000C45,Animation Technologies Inc.,Non-mobile device
000C3C,"MediaChorus, Inc.",Non-mobile device
000C32,Avionic Design Development GmbH,Non-mobile device
000C35,KaVo Dental GmbH & Co. KG,Non-mobile device
000C2B,"ELIAS Technology, Inc.",Non-mobile device
000C28,RIFATRON,Non-mobile device
000C1C,"MicroWeb Co., Ltd.",Non-mobile device
000C64,X2 MSA Group,Non-mobile device
000C69,National Radio Astronomy Observatory,Non-mobile device
